Actividad,Etapa
Definición de estándares de calidad,Planeación
Planificación de QA,Planeación
Revisiones y auditorías,Monitoreo
Revisión y control de requisitos,Monitoreo
Pruebas,Monitoreo
Automatización de pruebas,Monitoreo
Gestión de defectos,Monitoreo
Seguridad,Control
Administración de la seguridad,Control
Rendimiento,Monitoreo
Documentación,Control
Mejora continua,Control
Administración de riesgos,Planeación
Administración del cambio,Planeación
Educación,Planeación
Administración de proveedores,Planeación
